, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
221, ,221.0, Noivern            ,  0.04833% ,24348.0,  0.607% ,17966.0,  0.585% , 
222, ,222.0, Claydol            ,  0.04730% ,19889.0,  0.496% ,16535.0,  0.538% , 
223, ,223.0, Sceptile           ,  0.04685% ,28127.0,  0.701% ,19728.0,  0.642% , 
224, ,224.0, Lycanroc-Dusk      ,  0.04569% ,24791.0,  0.618% ,17799.0,  0.579% , 
225, ,225.0, Exeggutor-Alola    ,  0.04408% ,7336.0,  0.183% ,5405.0,  0.176% , 
226, ,226.0, Electrode          ,  0.04361% ,7423.0,  0.185% ,6324.0,  0.206% , 
227, ,227.0, Florges            ,  0.04284% ,17107.0,  0.427% ,12207.0,  0.397% , 
228, ,228.0, Machamp            ,  0.04204% ,24619.0,  0.614% ,18967.0,  0.617% , 
229, ,229.0, Mienshao           ,  0.04155% ,15096.0,  0.376% ,11378.0,  0.370% , 
230, ,230.0, Sawsbuck           ,  0.04135% ,5488.0,  0.137% ,3819.0,  0.124% , 
231, ,231.0, Sandslash-Alola    ,  0.04034% ,10728.0,  0.268% ,7989.0,  0.260% , 
232, ,232.0, Exploud            ,  0.03816% ,6249.0,  0.156% ,4715.0,  0.153% , 
233, ,233.0, Tsareena           ,  0.03706% ,13022.0,  0.325% ,9290.0,  0.302% , 
234, ,234.0, Cradily            ,  0.03695% ,12124.0,  0.302% ,9055.0,  0.295% , 
235, ,235.0, Klinklang          ,  0.03636% ,4624.0,  0.115% ,3376.0,  0.110% , 
236, ,236.0, Blastoise-Mega     ,  0.03615% ,24388.0,  0.608% ,18793.0,  0.612% , 
237, ,237.0, Yanmega            ,  0.03569% ,11965.0,  0.298% ,8681.0,  0.283% , 
238, ,238.0, Minior             ,  0.03466% ,19756.0,  0.493% ,13854.0,  0.451% , 
239, ,239.0, Dodrio             ,  0.03460% ,5193.0,  0.129% ,3814.0,  0.124% , 
240, ,240.0, Jolteon            ,  0.03417% ,43732.0,  1.091% ,32787.0,  1.067% , 
241, ,241.0, Venomoth           ,  0.03202% ,6572.0,  0.164% ,4571.0,  0.149% , 
242, ,242.0, Mimikyu-Totem      ,  0.03198% ,1042.0,  0.026% ,706.0,  0.023% , 
243, ,243.0, Articuno           ,  0.03028% ,6859.0,  0.171% ,4858.0,  0.158% , 
244, ,244.0, Scrafty            ,  0.03012% ,16176.0,  0.403% ,11728.0,  0.382% , 
245, ,245.0, Mesprit            ,  0.02985% ,3020.0,  0.075% ,2527.0,  0.082% , 
246, ,246.0, Noctowl            ,  0.02900% ,2845.0,  0.071% ,2034.0,  0.066% , 
247, ,247.0, Qwilfish           ,  0.02784% ,4694.0,  0.117% ,3571.0,  0.116% , 
248, ,248.0, Ampharos-Mega      ,  0.02673% ,14502.0,  0.362% ,10504.0,  0.342% , 
249, ,249.0, Wailord            ,  0.02592% ,3009.0,  0.075% ,2220.0,  0.072% , 
250, ,250.0, Gorebyss           ,  0.02547% ,2759.0,  0.069% ,1843.0,  0.060% , 
251, ,251.0, Jellicent          ,  0.02535% ,11035.0,  0.275% ,8248.0,  0.268% , 
252, ,252.0, Honchkrow          ,  0.02519% ,15119.0,  0.377% ,10737.0,  0.349% , 
253, ,253.0, Victreebel         ,  0.02517% ,8542.0,  0.213% ,6059.0,  0.197% , 
254, ,254.0, Typhlosion         ,  0.02514% ,20159.0,  0.503% ,14867.0,  0.484% , 
255, ,255.0, Swellow            ,  0.02487% ,20560.0,  0.513% ,14628.0,  0.476% , 
256, ,256.0, Ninetales          ,  0.02485% ,22448.0,  0.560% ,17712.0,  0.576% , 
257, ,257.0, Ambipom            ,  0.02439% ,17098.0,  0.426% ,13304.0,  0.433% , 
258, ,258.0, Farfetch'd         ,  0.02427% ,2552.0,  0.064% ,1768.0,  0.058% , 
259, ,259.0, Accelgor           ,  0.02418% ,10848.0,  0.271% ,8687.0,  0.283% , 
260, ,260.0, Sharpedo           ,  0.02365% ,7318.0,  0.182% ,5302.0,  0.173% , 
261, ,261.0, Gardevoir          ,  0.02324% ,33339.0,  0.831% ,22423.0,  0.730% , 
262, ,262.0, Tornadus           ,  0.02302% ,5433.0,  0.135% ,4020.0,  0.131% , 
263, ,263.0, Ludicolo           ,  0.02298% ,18134.0,  0.452% ,13026.0,  0.424% , 
264, ,264.0, Bewear             ,  0.02280% ,7755.0,  0.193% ,5436.0,  0.177% , 
265, ,265.0, Crustle            ,  0.02265% ,5004.0,  0.125% ,3909.0,  0.127% , 
266, ,266.0, Delphox            ,  0.02220% ,11753.0,  0.293% ,8564.0,  0.279% , 
267, ,267.0, Raticate-Alola     ,  0.02191% ,1083.0,  0.027% ,781.0,  0.025% , 
268, ,268.0, Stunfisk           ,  0.02156% ,5356.0,  0.134% ,4494.0,  0.146% , 
269, ,269.0, Rampardos          ,  0.02139% ,8873.0,  0.221% ,6045.0,  0.197% , 
270, ,270.0, Glaceon            ,  0.02076% ,6003.0,  0.150% ,4384.0,  0.143% , 
271, ,271.0, Regigigas          ,  0.02020% ,5108.0,  0.127% ,3866.0,  0.126% , 
272, ,272.0, Malamar            ,  0.01982% ,23515.0,  0.586% ,16737.0,  0.545% , 
273, ,273.0, Hitmonlee          ,  0.01968% ,15525.0,  0.387% ,10716.0,  0.349% , 
274, ,274.0, Regice             ,  0.01925% ,7411.0,  0.185% ,5437.0,  0.177% , 
275, ,275.0, Pikachu            ,  0.01884% ,20629.0,  0.514% ,15088.0,  0.491% , 
276, ,276.0, Vivillon           ,  0.01851% ,8620.0,  0.215% ,6095.0,  0.198% , 
277, ,277.0, Electivire         ,  0.01817% ,25745.0,  0.642% ,19069.0,  0.621% , 
278, ,278.0, Dragalge           ,  0.01803% ,10014.0,  0.250% ,7229.0,  0.235% , 
